8000.01  1.28879e+24  8e+24  0.996398  0.00358156  6e+24  0.985435  0.00125348  234  1
8100  1.3e+24  8e+24  0.995567  0.00293565  7.00001e+24  0.985448  0.00176628  232  1
8200  1.3e+24  8e+24  0.994275  0.00286914  7.00001e+24  0.985948  0.00204505  232  1
8299.99  1.3e+24  8e+24  0.99565  0.00273146  7.00001e+24  0.98628  0.00227549  232  1
8400  1.3e+24  8e+24  0.994005  0.00257588  7.00001e+24  0.986257  0.00104124  232  1
8500.01  1.30568e+24  8e+24  0.994179  0.00247106  7.00001e+24  0.985532  0.000976715  231  1
8600  1.30568e+24  8e+24  0.993783  0.00287758  7.00001e+24  0.98526  0.0029996  231  1
8700  1.30568e+24  8e+24  0.994719  0.00350131  7.00001e+24  0.984887  0.00342506  231  1
8800  1.3114e+24  8e+24  0.98418  0.00302029  5.00001e+24  0.988913  0.00329218  230  1
8900  1.3114e+24  8e+24  0.983325  0.00330779  5.00001e+24  0.990302  0.00245782  230  1
9000.01  1.31718e+24  1.1e+25  0.99034  0.00424119  8e+24  0.98304  0.00321442  229  2
9100  1.31718e+24  1.1e+25  0.990474  0.00345731  8e+24  0.9826  0.00335657  229  2
9200.01  1.32301e+24  1.1e+25  0.993389  0.00448318  9.00001e+24  0.983445  0.00313621  228  2
9300  1.32301e+24  1.1e+25  0.992839  0.00447681  9.00001e+24  0.983219  0.00336098  228  2
9400  1.32301e+24  1.1e+25  0.993455  0.00461902  9.00001e+24  0.983582  0.00419462  228  2
9500.01  1.32301e+24  1.1e+25  0.994385  0.00393231  9.00001e+24  0.982931  0.00445053  228  2
9600  1.32301e+24  1.1e+25  0.995391  0.004334  9.00001e+24  0.983104  0.00364506  228  2
9700.01  1.32301e+24  1.1e+25  0.995278  0.00279345  9.00001e+24  0.984238  0.0037618  228  2
9800  1.32301e+24  1.1e+25  0.995012  0.00313246  9.00001e+24  0.984485  0.00367476  228  2
9900  1.32301e+24  1.1e+25  0.996548  0.00358267  9.00001e+24  0.984272  0.00518769  228  2
9999.99  1.32301e+24  1.1e+25  0.995744  0.00191805  9.00001e+24  0.984845  0.00461463  228  2
10100  1.32301e+24  1.1e+25  0.995897  0.00167675  9.00001e+24  0.987841  0.00438873  228  2
10200  1.32301e+24  1.1e+25  0.995353  0.00135258  9.00001e+24  0.98853  0.00425457  228  2
10300  1.32889e+24  1.1e+25  0.994166  0.00227325  9.00001e+24  0.989345  0.00332518  227  2
10400  1.33482e+24  1.1e+25  0.994616  0.00383102  9.00001e+24  0.990077  0.00112292  226  2
10500  1.33482e+24  1.1e+25  0.993745  0.00496354  9.00001e+24  0.990543  0.00115086  226  2
10600  1.33482e+24  1.1e+25  0.993553  0.00612257  9.00001e+24  0.990252  0.000607312  226  2
